"GeneSymbol","Median","HL","LASSO","BestModel"
"MRPS15",6801.26389154189,6810.31620737516,6880.08905860706,"Median"
"MRPS16",6935.10597674514,6936.48060621355,6989.98763318734,"Median"
"MRPS17",7143.29124782963,7153.64366622102,7204.21945508379,"Median"
"MRPS18A",5643.54274541877,5655.24520955917,5673.25117678111,"Median"
"MRPS18B",6757.97865761456,6768.08934352706,6793.62975804949,"Median"
"MRPS18C",5215.19440328088,5216.43156617897,5231.56815216526,"Median"
"MRPS2",7150.84409394862,7161.26452621065,7180.65176836212,"Median"
"MRPS21",6296.69078386991,6301.39632877884,6339.17518378386,"Median"
"MRPS22",7577.11662115935,7577.11551490666,7661.79452569122,"HL"
"MRPS23",7359.45936907506,7370.75908687079,7514.87102951365,"Median"
"MRPS24",5361.78061545347,5370.75810361643,5398.07138747499,"Median"
"MRPS25",7228.74977223322,7215.43111789951,7246.04909029262,"HL"
"MRPS26",7484.05591588334,7485.89188791974,7491.80268456378,"Median"
"MRPS27",7062.77529900943,7077.13362948949,7366.30884141533,"Median"
"MRPS28",7073.54935501163,7059.37197534577,7159.11511438633,"HL"
"MRPS30",5816.24490185638,5828.66852224067,5839.49926441773,"Median"
"MRPS31",7157.04517159076,7130.77030904096,7230.69557528516,"HL"
"MRPS33",5963.40499053029,5974.20577923718,NA,"Median"
"MRPS34",6791.32970071616,6794.79900129783,6869.62080648867,"Median"
"MRPS35",7024.26747902411,7016.91066384911,7099.32392671652,"HL"
"MRPS36",6244.42199797519,6236.63801761021,6288.07690472237,"HL"
"MRPS5",7655.50473649225,7662.63183030054,7706.55377122172,"Median"
